Married,Years_Together,First_Together,End_Year,Religious_Attendance,Interracial_Couple,Age_Diff,Age,P_Age,Education,P_Education,Gender,Household_Income,Ethnicity,P_Ethnicity,Politics,P_Politics,White ,Black or African American ,American Indian or Alaska Native ,Asian Indian ,Chinese ,Filipino ,Japanese ,Korean ,Vietnamese ,Other Asian ,Hawaiian ,Guamanian ,Samoan ,Other Pacific Islander ,Some other race ,R_cowork,R_friend,R_family,R_sig_other,R_neighbor,P_cowork,P_friend,P_family,P_sig_other,P_neighbor,btwn_I_cowork,btwn_I_friend,btwn_I_family,btwn_I_sig_other,btwn_I_neighbor,school,college,mil,church,vol_org,customer,bar_restaurant,party,internet_other,internet_dating,internet_soc_network,internet_game,internet_chat,internet_org,public,blind_date,vacation,single_serve_nonint,business_trip,work_neighbors,met_online
"Yes, I am Married",15.0,2002.0,,Never,no,6.0,46,40.0,High school,HS graduate or GED,Female,"$20,000 to $24,999","White, Non-Hispanic",White,Strong Democrat,Strong Democrat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes
"Yes, I am Married",13.0,2004.0,,A few times a year,no,9.0,49,40.0,Some college,Masters degree,Male,"$100,000 to $124,999","White, Non-Hispanic",White,Strong Republican,Leans Republican,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",44.0,1973.0,,Once a week,no,6.0,66,72.0,Bachelor's degree or higher,"Some college, no degree",Female,"$60,000 to $74,999","Black, Non-Hispanic",Black or African American,Strong Democrat,Strong Democrat,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",22.0,1995.0,,Once a year or less,no,1.0,41,40.0,Bachelor's degree or higher,Bachelors degree,Male,"$250,000 or more","White, Non-Hispanic",White,Strong Republican,Undecided/Independent/Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"No, I am not Married",2.0,2015.0,2017.0,Never,no,2.0,27,25.0,Some college,HS graduate or GED,Male,"$40,000 to $49,999",Hispanic,White,Strong Democrat,Not Strong Democrat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
"No, I am not Married",9.0,2008.0,,Never,no,9.0,64,55.0,High school,HS graduate or GED,Female,"$15,000 to $19,999","White, Non-Hispanic",White,Undecided/Independent/Other,Leans Democrat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no
"Yes, I am Married",17.0,2000.0,,Never,no,3.0,32,35.0,High school,HS graduate or GED,Male,"$20,000 to $24,999","White, Non-Hispanic",White,Leans Republican,Undecided/Independent/Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",27.0,1990.0,,More than once a week,no,0.0,45,45.0,Less than high school,12th grade no diploma,Male,"$30,000 to $34,999","White, Non-Hispanic",White,Not Strong Democrat,Undecided/Independent/Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
"No, I am not Married",3.0,2014.0,,Once a year or less,no,2.0,23,25.0,Some college,"Some college, no degree",Female,"$10,000 to $12,499","White, Non-Hispanic",White,Strong Republican,Leans Republican,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"No, I am not Married",5.0,2012.0,,More than once a week,yes,5.0,38,43.0,Bachelor's degree or higher,"Some college, no degree",Male,"$75,000 to $84,999","2+ Races, Non-Hispanic",White,Not Strong Republican,Strong Republican,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"No, I am not Married",7.0,2010.0,,A few times a year,no,1.0,23,22.0,High school,11th grade,Female,"$25,000 to $29,999","White, Non-Hispanic",White,Leans Republican,Undecided/Independent/Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",11.0,2006.0,,Never,no,0.0,26,26.0,High school,HS graduate or GED,Male,"$15,000 to $19,999","White, Non-Hispanic",White,Not Strong Republican,Undecided/Independent/Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"No, I am not Married",8.0,1989.0,1997.0,Never,no,1.0,62,63.0,High school,HS graduate or GED,Male,"$85,000 to $99,999","White, Non-Hispanic",White,Leans Republican,Strong Republican,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",40.0,1977.0,,Once a year or less,no,5.0,70,75.0,Bachelor's degree or higher,Masters degree,Female,"$100,000 to $124,999","White, Non-Hispanic",White,Leans Democrat,Leans Democrat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",18.0,1999.0,,Once a week,no,1.0,33,32.0,Bachelor's degree or higher,Bachelors degree,Male,"$85,000 to $99,999","White, Non-Hispanic",White,Leans Republican,Leans Republican,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"No, I am not Married",1.0,2016.0,,Once a week,no,4.0,20,24.0,High school,HS graduate or GED,Male,"$40,000 to $49,999","White, Non-Hispanic",White,Not Strong Democrat,Leans Democrat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",18.0,1999.0,,A few times a year,yes,4.0,58,62.0,High school,"Some college, no degree",Female,"$175,000 to $199,999","White, Non-Hispanic",Black or African American,Not Strong Democrat,Not Strong Democrat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes
"No, I am not Married",7.0,2010.0,,Never,no,3.0,50,53.0,High school,12th grade no diploma,Male,"$5,000 to $7,499","White, Non-Hispanic",White,Leans Republican,Leans Republican,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",29.0,1988.0,,Once a year or less,no,10.0,48,58.0,Bachelor's degree or higher,Bachelors degree,Male,"$125,000 to $149,999","White, Non-Hispanic",White,Strong Democrat,Strong Democrat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"No, I am not Married",4.0,2013.0,,Never,no,6.0,22,28.0,Bachelor's degree or higher,Professional or Doctorate degree,Female,"$175,000 to $199,999","Other, Non-Hispanic",Asian or Pacific Islander,Strong Democrat,Leans Democrat,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",11.0,2006.0,,Never,no,14.0,62,48.0,Some college,Bachelors degree,Male,"$125,000 to $149,999","White, Non-Hispanic",White,Strong Democrat,Strong Democrat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"No, I am not Married",0.0,2017.0,,Never,no,0.0,32,32.0,Bachelor's degree or higher,Bachelors degree,Male,"$175,000 to $199,999","White, Non-Hispanic",White,Leans Republican,Undecided/Independent/Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes
"No, I am not Married",2.0,2015.0,,Once a year or less,no,2.0,53,55.0,Some college,Bachelors degree,Male,"$35,000 to $39,999","White, Non-Hispanic",White,Not Strong Republican,Strong Democrat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",17.0,2000.0,,Never,no,2.0,36,34.0,High school,HS graduate or GED,Male,"$75,000 to $84,999","White, Non-Hispanic",White,Strong Republican,Strong Republican,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",2.0,2015.0,,Once or twice a month,no,14.0,38,52.0,High school,"Some college, no degree",Male,"$15,000 to $19,999",Hispanic,White,Not Strong Republican,Strong Republican,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",46.0,1971.0,,Never,yes,2.0,62,64.0,Less than high school,HS graduate or GED,Female,"$40,000 to $49,999","2+ Races, Non-Hispanic",White,Undecided/Independent/Other,Leans Republican,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
"Yes, I am Married",2.0,2015.0,,Once or twice a month,yes,10.0,33,23.0,Less than high school,10th grade,Male,"Less than $5,000",Hispanic,Other (please specify),Leans Republican,Strong Republican,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",20.0,1997.0,,Once a week,no,1.0,41,40.0,Bachelor's degree or higher,Masters degree,Female,"$125,000 to $149,999","White, Non-Hispanic",White,Not Strong Republican,Leans Republican,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"No, I am not Married",41.0,1976.0,,Never,no,2.0,60,58.0,High school,Masters degree,Male,"$150,000 to $174,999","White, Non-Hispanic",White,Leans Democrat,Undecided/Independent/Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",19.0,1998.0,,Never,yes,3.0,58,55.0,Bachelor's degree or higher,Masters degree,Male,"$100,000 to $124,999","White, Non-Hispanic",Asian or Pacific Islander,Not Strong Democrat,Strong Democrat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",34.0,1983.0,,Once a week,no,1.0,55,54.0,Bachelor's degree or higher,Associate degree,Male,"$200,000 to $249,999","White, Non-Hispanic",White,Not Strong Democrat,Not Strong Democrat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",52.0,1965.0,,Never,no,3.0,70,67.0,Bachelor's degree or higher,"Some college, no degree",Male,"$100,000 to $124,999","White, Non-Hispanic",White,Strong Democrat,Strong Democrat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",9.0,2008.0,,Never,no,1.0,54,53.0,Bachelor's degree or higher,Associate degree,Male,"$200,000 to $249,999","White, Non-Hispanic",White,Not Strong Republican,Leans Republican,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes
"Yes, I am Married",43.0,1974.0,,Never,no,2.0,60,62.0,Some college,"Some college, no degree",Female,"$150,000 to $174,999","White, Non-Hispanic",White,Not Strong Republican,Strong Republican,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"No, I am not Married",3.0,2014.0,,Once or twice a month,no,2.0,30,32.0,Some college,Associate degree,Female,"$125,000 to $149,999","Black, Non-Hispanic",Black or African American,Strong Democrat,Strong Democrat,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",11.0,2006.0,,A few times a year,no,2.0,26,28.0,Some college,HS graduate or GED,Female,"$40,000 to $49,999","White, Non-Hispanic",White,Undecided/Independent/Other,Undecided/Independent/Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"No, I am not Married",7.0,2010.0,,A few times a year,no,3.0,39,36.0,Bachelor's degree or higher,Masters degree,Male,"$150,000 to $174,999","White, Non-Hispanic",White,Leans Republican,Leans Democrat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no
"No, I am not Married",40.0,1972.0,2012.0,A few times a year,no,2.0,68,70.0,Bachelor's degree or higher,Bachelors degree,Male,"$150,000 to $174,999","White, Non-Hispanic",White,Leans Republican,Leans Republican,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
"No, I am not Married",13.0,2004.0,,A few times a year,no,2.0,31,29.0,Some college,Associate degree,Male,"$100,000 to $124,999","White, Non-Hispanic",White,Leans Republican,Leans Republican,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",11.0,2006.0,,Never,no,6.0,47,41.0,Bachelor's degree or higher,Professional or Doctorate degree,Male,"$100,000 to $124,999",Hispanic,White,Strong Democrat,Strong Democrat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no
"Yes, I am Married",47.0,1970.0,,Once or twice a month,no,9.0,76,67.0,Bachelor's degree or higher,Professional or Doctorate degree,Male,"$250,000 or more","White, Non-Hispanic",White,Strong Democrat,Strong Democrat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",46.0,1971.0,,Once or twice a month,no,0.0,63,63.0,Bachelor's degree or higher,Associate degree,Male,"$75,000 to $84,999","White, Non-Hispanic",White,Leans Democrat,Leans Democrat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",35.0,1982.0,,Never,no,4.0,55,59.0,Less than high school,HS graduate or GED,Male,"$50,000 to $59,999","White, Non-Hispanic",White,Leans Republican,Leans Republican,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",58.0,1959.0,,Once a week,no,1.0,75,74.0,High school,Bachelors degree,Female,"$60,000 to $74,999","White, Non-Hispanic",White,Leans Republican,Strong Republican,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
"Yes, I am Married",30.0,1987.0,,A few times a year,no,0.0,45,45.0,Less than high school,12th grade no diploma,Female,"$85,000 to $99,999","White, Non-Hispanic",White,Strong Republican,Leans Republican,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",63.0,1954.0,,Once a week,no,1.0,74,75.0,Some college,"Some college, no degree",Male,"$40,000 to $49,999","White, Non-Hispanic",White,Leans Democrat,Strong Democrat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"No, I am not Married",5.0,2012.0,,Once or twice a month,no,1.0,57,58.0,Less than high school,Bachelors degree,Female,"Less than $5,000","White, Non-Hispanic",White,Strong Republican,Strong Republican,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"No, I am not Married",3.0,2014.0,,Never,no,1.0,38,37.0,Some college,Bachelors degree,Male,"$50,000 to $59,999","White, Non-Hispanic",White,Strong Democrat,Leans Democrat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",30.0,1987.0,,Never,yes,3.0,69,72.0,High school,HS graduate or GED,Male,"$75,000 to $84,999","2+ Races, Non-Hispanic",White,Strong Democrat,Undecided/Independent/Other,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",32.0,1985.0,,Once a year or less,yes,3.0,59,56.0,Bachelor's degree or higher,Bachelors degree,Male,"$175,000 to $199,999","Other, Non-Hispanic",Other (please specify),Strong Democrat,Leans Democrat,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
"Yes, I am Married",13.0,2004.0,,More than once a week,no,14.0,38,52.0,Bachelor's degree or higher,Bachelors degree,Female,"$100,000 to $124,999","White, Non-Hispanic",White,Leans Democrat,Undecided/Independent/Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",14.0,2003.0,,A few times a year,no,2.0,36,34.0,High school,HS graduate or GED,Male,"$75,000 to $84,999",Hispanic,White,Not Strong Democrat,Leans Democrat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"No, I am not Married",1.0,2016.0,,A few times a year,no,2.0,19,21.0,Some college,"Some college, no degree",Female,"$200,000 to $249,999","White, Non-Hispanic",White,Strong Democrat,Leans Democrat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",10.0,2007.0,,Never,no,4.0,42,38.0,High school,Bachelors degree,Male,"$50,000 to $59,999","Black, Non-Hispanic",Black or African American,Leans Democrat,Leans Democrat,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no
"Yes, I am Married",40.0,1977.0,,A few times a year,no,0.0,57,57.0,High school,HS graduate or GED,Female,"$50,000 to $59,999","White, Non-Hispanic",White,Strong Republican,Strong Republican,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
