,Married,Years_Together,First_Together,End_Year,Religious_Attendance,Interracial_Couple,Age_Diff,Age,Edu_Diff,Pol_Diff,P_Age,Education,P_Education,Gender,Household_Income,Ethnicity,P_Ethnicity,Politics,P_Politics,White ,Black or African American ,American Indian or Alaska Native ,Asian Indian ,Chinese ,Filipino ,Japanese ,Korean ,Vietnamese ,Other Asian ,Hawaiian ,Guamanian ,Samoan ,Other Pacific Islander ,Some other race ,R_cowork,R_friend,R_family,R_sig_other,R_neighbor,P_cowork,P_friend,P_family,P_sig_other,P_neighbor,btwn_I_cowork,btwn_I_friend,btwn_I_family,btwn_I_sig_other,btwn_I_neighbor,school,college,mil,church,vol_org,customer,bar_restaurant,party,internet_other,internet_dating,internet_soc_network,internet_game,internet_chat,internet_org,public,blind_date,vacation,single_serve_nonint,business_trip,work_neighbors,met_online,places_met
10,"Yes, I am Married",15.0,2002.0,,5,no,6.0,46,0,0,40.0,2,2,Female,6,"White, Non-Hispanic",White,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,internet_chat
11,"Yes, I am Married",13.0,2004.0,,3,no,9.0,49,1,1,40.0,1,0,Male,15,"White, Non-Hispanic",White,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,R_soc_circle
12,"Yes, I am Married",44.0,1973.0,,1,no,6.0,66,1,0,72.0,0,1,Female,12,"Black, Non-Hispanic",Black or African American,6,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,R_soc_circle
13,"Yes, I am Married",22.0,1995.0,,4,no,1.0,41,0,3,40.0,0,0,Male,20,"White, Non-Hispanic",White,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,R_soc_circle
14,"No, I am not Married",2.0,2015.0,2017.0,5,no,2.0,27,1,2,25.0,1,2,Male,10,Hispanic,White,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,R_soc_circle
15,"No, I am not Married",9.0,2008.0,,5,no,9.0,64,0,2,55.0,2,2,Female,5,"White, Non-Hispanic",White,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,work_neighbors
16,"Yes, I am Married",17.0,2000.0,,5,no,3.0,32,0,2,35.0,2,2,Male,6,"White, Non-Hispanic",White,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,R_soc_circle
17,"Yes, I am Married",27.0,1990.0,,0,no,0.0,45,0,1,45.0,3,3,Male,8,"White, Non-Hispanic",White,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,P_soc_circle
18,"No, I am not Married",3.0,2014.0,,4,no,2.0,23,0,1,25.0,1,1,Female,3,"White, Non-Hispanic",White,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,R_soc_circle
19,"No, I am not Married",5.0,2012.0,,0,yes,5.0,38,1,2,43.0,0,1,Male,13,"2+ Races, Non-Hispanic",White,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,P_soc_circle
20,"No, I am not Married",7.0,2010.0,,3,no,1.0,23,1,2,22.0,2,3,Female,7,"White, Non-Hispanic",White,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,school
21,"Yes, I am Married",11.0,2006.0,,5,no,0.0,26,0,1,26.0,2,2,Male,5,"White, Non-Hispanic",White,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,P_soc_circle
22,"No, I am not Married",8.0,1989.0,1997.0,5,no,1.0,62,0,1,63.0,2,2,Male,14,"White, Non-Hispanic",White,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,party
23,"Yes, I am Married",40.0,1977.0,,4,no,5.0,70,0,0,75.0,0,0,Female,15,"White, Non-Hispanic",White,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,R_soc_circle
24,"Yes, I am Married",18.0,1999.0,,1,no,1.0,33,0,0,32.0,0,0,Male,14,"White, Non-Hispanic",White,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,R_soc_circle
25,"No, I am not Married",1.0,2016.0,,1,no,4.0,20,0,1,24.0,2,2,Male,10,"White, Non-Hispanic",White,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,R_soc_circle
26,"Yes, I am Married",18.0,1999.0,,3,yes,4.0,58,1,0,62.0,2,1,Female,18,"White, Non-Hispanic",Black or African American,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,internet_chat
27,"No, I am not Married",7.0,2010.0,,5,no,3.0,50,1,0,53.0,2,3,Male,1,"White, Non-Hispanic",White,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,R_soc_circle
28,"Yes, I am Married",29.0,1988.0,,4,no,10.0,48,0,0,58.0,0,0,Male,16,"White, Non-Hispanic",White,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,R_soc_circle
29,"No, I am not Married",4.0,2013.0,,5,no,6.0,22,0,1,28.0,0,0,Female,18,"Other, Non-Hispanic",Asian or Pacific Islander,6,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,college
30,"Yes, I am Married",11.0,2006.0,,5,no,14.0,62,1,0,48.0,1,0,Male,16,"White, Non-Hispanic",White,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,R_soc_circle
31,"No, I am not Married",0.0,2017.0,,5,no,0.0,32,0,2,32.0,0,0,Male,18,"White, Non-Hispanic",White,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,bar_restaurant
32,"No, I am not Married",2.0,2015.0,,4,no,2.0,53,1,4,55.0,1,0,Male,9,"White, Non-Hispanic",White,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,R_soc_circle
33,"Yes, I am Married",17.0,2000.0,,5,no,2.0,36,0,0,34.0,2,2,Male,13,"White, Non-Hispanic",White,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,R_soc_circle
34,"Yes, I am Married",2.0,2015.0,,2,no,14.0,38,1,2,52.0,2,1,Male,5,Hispanic,White,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,R_soc_circle
35,"Yes, I am Married",46.0,1971.0,,5,yes,2.0,62,1,2,64.0,3,2,Female,10,"2+ Races, Non-Hispanic",White,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,public
36,"Yes, I am Married",2.0,2015.0,,2,yes,10.0,33,0,1,23.0,3,3,Male,0,Hispanic,Other (please specify),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,R_soc_circle
37,"Yes, I am Married",20.0,1997.0,,1,no,1.0,41,0,1,40.0,0,0,Female,16,"White, Non-Hispanic",White,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,R_soc_circle
38,"No, I am not Married",41.0,1976.0,,5,no,2.0,60,2,2,58.0,2,0,Male,17,"White, Non-Hispanic",White,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,P_soc_circle
39,"Yes, I am Married",19.0,1998.0,,5,yes,3.0,58,0,2,55.0,0,0,Male,15,"White, Non-Hispanic",Asian or Pacific Islander,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,R_soc_circle
40,"Yes, I am Married",34.0,1983.0,,1,no,1.0,55,1,0,54.0,0,1,Male,19,"White, Non-Hispanic",White,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,bar_restaurant
41,"Yes, I am Married",52.0,1965.0,,5,no,3.0,70,1,0,67.0,0,1,Male,15,"White, Non-Hispanic",White,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,R_soc_circle
42,"Yes, I am Married",9.0,2008.0,,5,no,1.0,54,1,1,53.0,0,1,Male,19,"White, Non-Hispanic",White,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,internet_chat
43,"Yes, I am Married",43.0,1974.0,,5,no,2.0,60,0,2,62.0,1,1,Female,17,"White, Non-Hispanic",White,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,R_soc_circle
44,"No, I am not Married",3.0,2014.0,,2,no,2.0,30,0,0,32.0,1,1,Female,16,"Black, Non-Hispanic",Black or African American,6,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,R_soc_circle
45,"Yes, I am Married",11.0,2006.0,,3,no,2.0,26,1,0,28.0,1,2,Female,10,"White, Non-Hispanic",White,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,R_soc_circle
46,"No, I am not Married",7.0,2010.0,,3,no,3.0,39,0,4,36.0,0,0,Male,17,"White, Non-Hispanic",White,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,R_soc_circle
47,"No, I am not Married",40.0,1972.0,2012.0,3,no,2.0,68,0,0,70.0,0,0,Male,17,"White, Non-Hispanic",White,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,R_soc_circle
48,"No, I am not Married",13.0,2004.0,,3,no,2.0,31,0,0,29.0,1,1,Male,15,"White, Non-Hispanic",White,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,school
49,"Yes, I am Married",11.0,2006.0,,5,no,6.0,47,0,0,41.0,0,0,Male,15,Hispanic,White,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,R_soc_circle
50,"Yes, I am Married",47.0,1970.0,,2,no,9.0,76,0,0,67.0,0,0,Male,20,"White, Non-Hispanic",White,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,P_soc_circle
51,"Yes, I am Married",46.0,1971.0,,2,no,0.0,63,1,0,63.0,0,1,Male,13,"White, Non-Hispanic",White,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,R_soc_circle
52,"Yes, I am Married",35.0,1982.0,,5,no,4.0,55,1,0,59.0,3,2,Male,11,"White, Non-Hispanic",White,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,vol_org
53,"Yes, I am Married",58.0,1959.0,,1,no,1.0,75,2,1,74.0,2,0,Female,12,"White, Non-Hispanic",White,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,public
54,"Yes, I am Married",30.0,1987.0,,3,no,0.0,45,0,1,45.0,3,3,Female,14,"White, Non-Hispanic",White,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,school
55,"Yes, I am Married",63.0,1954.0,,1,no,1.0,74,0,1,75.0,1,1,Male,10,"White, Non-Hispanic",White,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,church
56,"No, I am not Married",5.0,2012.0,,2,no,1.0,57,3,0,58.0,3,0,Female,0,"White, Non-Hispanic",White,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,R_soc_circle
57,"No, I am not Married",3.0,2014.0,,5,no,1.0,38,1,1,37.0,1,0,Male,11,"White, Non-Hispanic",White,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,R_soc_circle
58,"Yes, I am Married",30.0,1987.0,,5,yes,3.0,69,0,3,72.0,2,2,Male,13,"2+ Races, Non-Hispanic",White,6,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,church
59,"Yes, I am Married",32.0,1985.0,,4,yes,3.0,59,0,1,56.0,0,0,Male,18,"Other, Non-Hispanic",Other (please specify),6,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,single_serve_nonint
60,"Yes, I am Married",13.0,2004.0,,0,no,14.0,38,0,2,52.0,0,0,Female,15,"White, Non-Hispanic",White,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,R_soc_circle
61,"Yes, I am Married",14.0,2003.0,,3,no,2.0,36,0,1,34.0,2,2,Male,13,Hispanic,White,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,R_soc_circle
62,"No, I am not Married",1.0,2016.0,,3,no,2.0,19,0,1,21.0,1,1,Female,19,"White, Non-Hispanic",White,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,R_soc_circle
63,"Yes, I am Married",10.0,2007.0,,5,no,4.0,42,2,0,38.0,2,0,Male,11,"Black, Non-Hispanic",Black or African American,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,met_online
64,"Yes, I am Married",40.0,1977.0,,3,no,0.0,57,0,0,57.0,2,2,Female,11,"White, Non-Hispanic",White,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,R_soc_circle
65,"Yes, I am Married",6.0,2011.0,,3,no,5.0,25,0,0,30.0,2,2,Female,11,"White, Non-Hispanic",White,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,R_soc_circle
66,"No, I am not Married",23.0,1965.0,1988.0,1,yes,4.0,71,0,2,75.0,0,0,Female,15,"White, Non-Hispanic",Other (please specify),5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,R_soc_circle
67,"Yes, I am Married",30.0,1987.0,,5,yes,9.0,61,2,1,52.0,3,1,Female,11,Hispanic,Other (please specify),6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,church
68,"Yes, I am Married",35.0,1982.0,,4,no,1.0,61,0,0,60.0,0,0,Female,17,"White, Non-Hispanic",White,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,R_soc_circle
69,"Yes, I am Married",38.0,1979.0,,3,no,2.0,69,1,2,71.0,1,2,Male,13,"White, Non-Hispanic",White,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,R_soc_circle
70,"Yes, I am Married",56.0,1961.0,,4,no,1.0,74,0,2,73.0,0,0,Male,17,"Other, Non-Hispanic",Asian or Pacific Islander,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,college
71,"No, I am not Married",5.0,2012.0,,1,no,0.0,24,0,4,24.0,1,1,Male,11,"White, Non-Hispanic",White,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,vol_org
72,"Yes, I am Married",22.0,1995.0,,5,no,1.0,48,0,4,49.0,0,0,Male,17,"White, Non-Hispanic",White,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,R_soc_circle
